plik,czas_dyn,czas_aproks,stos_czas_dyn_aproks,czas_bb,koszt_dyn,koszt_aproks,stos_koszt_dyn_aproks,koszt_bb
data/7/7_21.tsp,1934104,60978,31.7181,515476,443,443,1,443
data/7/7_22.tsp,2005031,61893,32.3951,469794,415,415,1,415
data/7/7_23.tsp,1923916,63205,30.4393,535947,452,469,1.03761,458
data/7/7_24.tsp,2136928,135567,15.7629,472551,406,429,1.05665,406
data/7/7_25.tsp,2061583,62432,33.0213,575122,451,481,1.06652,451
data/7/7_26.tsp,2320619,65438,35.4629,506430,459,465,1.01307,459
data/7/7_27.tsp,1943745,76021,25.5685,490260,416,479,1.15144,416
data/7/7_28.tsp,2131137,95823,22.2403,607476,425,434,1.02118,425
data/7/7_29.tsp,2225367,63438,35.0794,553354,431,453,1.05104,431
data/8/8_0.tsp,5760116,69760,82.5705,903257,486,542,1.11523,486
data/8/8_1.tsp,5691951,113209,50.2783,854878,478,543,1.13598,478
data/8/8_2.tsp,5266672,121658,43.2908,850852,485,516,1.06392,491
data/8/8_3.tsp,5856490,76140,76.9174,877464,510,512,1.00392,510
data/8/8_4.tsp,6443949,85378,75.4755,922282,475,524,1.10316,482
data/8/8_5.tsp,5270532,94798,55.5975,881964,500,556,1.112,500
data/8/8_6.tsp,5242756,92593,56.6215,880327,534,563,1.05431,546
data/8/8_7.tsp,6475521,70919,91.3087,926182,497,548,1.10262,497
data/8/8_8.tsp,5338122,72248,73.8861,917195,479,510,1.06472,479
data/8/8_9.tsp,7638818,99535,76.745,1233273,509,570,1.11984,511
data/8/8_10.tsp,5600554,93717,59.7603,834597,475,533,1.12211,475
data/8/8_11.tsp,5426201,69993,77.5249,901593,550,550,1,550
data/8/8_12.tsp,5213606,93516,55.751,913191,464,506,1.09052,464
data/8/8_13.tsp,5775196,97157,59.4419,893244,535,589,1.10093,535
data/8/8_14.tsp,5196903,65807,78.9719,1106916,487,518,1.06366,487
data/8/8_15.tsp,6211190,70664,87.8975,1144749,437,523,1.1968,444
data/8/8_16.tsp,6520903,94404,69.0744,886443,475,526,1.10737,475
data/8/8_17.tsp,5304710,101177,52.43,868308,497,551,1.10865,502
data/8/8_18.tsp,5236913,70704,74.0681,1261434,497,512,1.03018,503
data/8/8_19.tsp,6612752,70026,94.4328,918841,466,473,1.01502,466
data/8/8_20.tsp,5552455,100063,55.4896,880146,496,560,1.12903,501
data/8/8_21.tsp,6082614,100063,60.7878,845558,487,499,1.02464,487
data/8/8_22.tsp,5300024,71622,73.9999,879625,529,593,1.12098,529
data/8/8_23.tsp,5283282,98641,53.5607,841934,473,521,1.10148,473
data/8/8_24.tsp,5802979,107817,53.8225,904907,506,604,1.19368,506
